CA	organ_age	Age_group
57.1	54.4	[57,60)
39.8	38.3	[39,42)
44.6	43.4	[42,45)
36.4	30.3	[36,39)
45.2	44.8	[45,48)
64	55.3	[63,66)
34	33	[33,36)
66.1	71.4	[66,69)
27	25.9	[27,30)
41.3	49.6	[39,42)
48.2	56.4	[48,51)
71.2	71.4	[69,72)
60.3	56.9	[60,63)
53.3	59.2	[51,54)
55	52.2	[54,57)
61.9	53.2	[60,63)
46.3	42.2	[45,48)
47.7	50.5	[45,48)
49.3	61.7	[48,51)
67.4	65.9	[66,69)
47.9	53.6	[45,48)
63.6	61.7	[63,66)
56.9	48.1	[54,57)
30.5	32.9	[30,33)
30.5	32.9	[30,33)
51.3	54.2	[51,54)
64.6	67.9	[63,66)
37.6	40	[36,39)
53.3	51.7	[51,54)
65.7	66	[63,66)
49.1	48.2	[48,51)
36.4	30.2	[36,39)
75.7	72.7	[75,78)
62.8	66.4	[60,63)
50.3	51.3	[48,51)
52.7	53	[51,54)
62.4	56.2	[60,63)
49.1	56	[48,51)
28.9	36.8	[27,30)
21.3	31.1	[21,24)
54.7	61.9	[54,57)
28	32.3	[27,30)
59.3	49.7	[57,60)
67.2	69.8	[66,69)
49	51.4	[48,51)
67	66.5	[66,69)
61.8	63.4	[60,63)
69.9	69.6	[69,72)
37.4	35	[36,39)
37.9	31.3	[36,39)
61.6	69.2	[60,63)
44.7	51.3	[42,45)
40.3	37.8	[39,42)
64.2	67.2	[63,66)
52	49.9	[51,54)
65.5	72.7	[63,66)
64.3	67.1	[63,66)
39.4	30.5	[39,42)
37	45.6	[36,39)
41.2	41.5	[39,42)
46.1	45.5	[45,48)
76.3	74.6	[75,78)
62.1	62.5	[60,63)
52.6	48.3	[51,54)
70.5	70.9	[69,72)
64.1	65.4	[63,66)
46.5	52.2	[45,48)
54.9	54	[54,57)
56.7	57.3	[54,57)
69.4	71.5	[69,72)
67.6	71.4	[66,69)
74	75.4	[72,75)
52.1	56	[51,54)
40.4	40.7	[39,42)
44.5	47.1	[42,45)
40	40.5	[39,42)
71.2	74.1	[69,72)
55.8	44.2	[54,57)
68.8	73.5	[66,69)
45.7	39.4	[45,48)
65.9	69.9	[63,66)
45.1	46.5	[45,48)
54.2	59.2	[54,57)
59.8	60.4	[57,60)
66.6	69.9	[66,69)
40.3	39.6	[39,42)
33.3	28.9	[33,36)
66.3	64.8	[66,69)
32	30.8	[30,33)
47.6	42.7	[45,48)
62.9	68.8	[60,63)
34.3	32.7	[33,36)
63.9	70.8	[63,66)
40.3	40.6	[39,42)
50.3	55.7	[48,51)
43.5	35.1	[42,45)
44.1	44.8	[42,45)
24.9	19.9	[24,27)
51	46	[51,54)
68	74.8	[66,69)
62.6	70.3	[60,63)
47.5	46.2	[45,48)
41.7	38.8	[39,42)
51.5	43.5	[51,54)
49	51.1	[48,51)
78.6	68.1	[78,81)
55.3	55.4	[54,57)
62.3	64.4	[60,63)
43.7	35.7	[42,45)
68.2	76	[66,69)
45.8	43.7	[45,48)
29.1	26.3	[27,30)
51.7	49.2	[51,54)
54.7	52.4	[54,57)
43.2	44.4	[42,45)
68.2	66.1	[66,69)
60.1	57.1	[60,63)
49.6	47.3	[48,51)
40.6	39.8	[39,42)
76.2	66.7	[75,78)
62.6	59.4	[60,63)
40.3	40.8	[39,42)
28.5	37.9	[27,30)
58.6	55.3	[57,60)
48.1	55.2	[48,51)
61.5	69.3	[60,63)
