CA	organ_age	Age_group
64.4	62.1	[63,66)
72.2	67.8	[72,75)
59.1	54.7	[57,60)
29.1	36.9	[27,30)
55.2	55.6	[54,57)
46.7	63.7	[45,48)
51.8	58.1	[51,54)
55.5	51.4	[54,57)
31.8	23.5	[30,33)
68.8	74.5	[66,69)
32.9	34.3	[30,33)
70.8	74.3	[69,72)
69.8	69.2	[69,72)
35.5	34.5	[33,36)
55.1	53.9	[54,57)
70.7	66.6	[69,72)
69.4	72.9	[69,72)
37.1	43.2	[36,39)
58.3	73.4	[57,60)
53.7	47.7	[51,54)
75.1	70.5	[75,78)
48	56.3	[48,51)
53.4	51.8	[51,54)
70	69.7	[69,72)
28.2	25.8	[27,30)
44.1	49.2	[42,45)
67.4	61.2	[66,69)
68.7	67.4	[66,69)
31.7	41.7	[30,33)
48.5	49.9	[48,51)
32.9	41	[30,33)
65.1	52.1	[63,66)
36.5	32.6	[36,39)
62.4	56.6	[60,63)
46.9	50.6	[45,48)
35.3	32.7	[33,36)
42	30.7	[42,45)
41.4	37.7	[39,42)
57.2	64.8	[57,60)
71	69.9	[69,72)
66.3	65.7	[66,69)
45.4	44.3	[45,48)
49.9	54.2	[48,51)
62.3	63.4	[60,63)
51.7	43.1	[51,54)
72.4	70.2	[72,75)
27.4	37.6	[27,30)
67.3	74.8	[66,69)
27.1	34.7	[27,30)
53.9	59	[51,54)
58.4	56.2	[57,60)
54.4	54.6	[54,57)
31.3	29.7	[30,33)
28.6	35.4	[27,30)
44.3	46	[42,45)
36.2	36	[36,39)
33.9	34.1	[33,36)
61.2	66.2	[60,63)
34	35.6	[33,36)
52.7	52.9	[51,54)
58	57.6	[57,60)
75.4	64.6	[75,78)
74.8	74.7	[72,75)
29.5	26.7	[27,30)
64.5	66.7	[63,66)
48.4	48.7	[48,51)
45.1	49.1	[45,48)
23.9	29.5	[21,24)
54.8	49.9	[54,57)
43.2	48.1	[42,45)
33.2	29.3	[33,36)
49.3	41.5	[48,51)
70	72.4	[69,72)
54.2	54.3	[54,57)
60.1	63.3	[60,63)
49.2	48.7	[48,51)
31.1	27.7	[30,33)
47	55.5	[45,48)
66.7	67.9	[66,69)
46.5	41.1	[45,48)
68.1	74	[66,69)
76.7	70.3	[75,78)
52.4	56.6	[51,54)
49.9	51.7	[48,51)
63.9	71.4	[63,66)
32.5	35.3	[30,33)
31.9	28.8	[30,33)
48.7	40.7	[48,51)
46.8	41	[45,48)
71.8	68.9	[69,72)
50.9	51.3	[48,51)
50.8	51.8	[48,51)
53.9	48.8	[51,54)
48.7	54.8	[48,51)
61.4	63.7	[60,63)
47.5	47.6	[45,48)
65	60.2	[63,66)
72.2	73.8	[72,75)
68.6	70.6	[66,69)
51.4	51	[51,54)
47.6	43.1	[45,48)
45.1	41.6	[45,48)
42.5	49.1	[42,45)
52	54.1	[51,54)
61.2	62.3	[60,63)
71.2	72.8	[69,72)
64	66.3	[63,66)
42.2	34.4	[42,45)
71	66.2	[69,72)
63.1	66.3	[63,66)
31.3	34.4	[30,33)
74.9	75.8	[72,75)
36.7	39.2	[36,39)
34.2	44.3	[33,36)
67.2	72.4	[66,69)
43.7	46.5	[42,45)
42.4	46.4	[42,45)
34.8	21.6	[33,36)
64.6	54.7	[63,66)
68.9	73.4	[66,69)
35	43.1	[33,36)
49.9	46.1	[48,51)
34.2	36.8	[33,36)
61	65	[60,63)
32.4	29.9	[30,33)
63.4	67.4	[63,66)
66.4	68.1	[66,69)
47.3	49.8	[45,48)
69.2	67	[69,72)
38.2	46.3	[36,39)
35.4	40.4	[33,36)
78.4	70.6	[78,81)
72.1	73.9	[72,75)
69.8	69.7	[69,72)
61.8	54.5	[60,63)
66.4	64.6	[66,69)
54.8	65.1	[54,57)
64.7	67.8	[63,66)
63.1	65.7	[63,66)
78.6	71.1	[78,81)
52.2	52.7	[51,54)
74.7	70.3	[72,75)
54	54.7	[54,57)
66.2	67.5	[66,69)
29.4	35.9	[27,30)
42.3	47.6	[42,45)
38.7	33.1	[36,39)
37.1	38.4	[36,39)
73.9	72.5	[72,75)
67.7	65.7	[66,69)
57.1	41.4	[57,60)
51.4	45.6	[51,54)
51.3	57.8	[51,54)
36.4	26.8	[36,39)
62.9	56.6	[60,63)
67.9	73.4	[66,69)
70.1	66.9	[69,72)
41.4	41.1	[39,42)
26.5	28.7	[24,27)
59.4	67.2	[57,60)
77.1	72.4	[75,78)
32.4	30.8	[30,33)
53.3	51.1	[51,54)
52.1	56.9	[51,54)
60.6	69	[60,63)
50.5	55.5	[48,51)
43.3	56.4	[42,45)
35.1	28.4	[33,36)
59.3	55.4	[57,60)
63	77	[63,66)
60.4	60.5	[60,63)
35.5	27	[33,36)
74.4	77.9	[72,75)
34.4	33.8	[33,36)
66.1	65.1	[66,69)
50.2	53.6	[48,51)
71.1	71.6	[69,72)
64	70	[63,66)
55.4	59.5	[54,57)
71.2	74.6	[69,72)
58.1	67.1	[57,60)
60.8	66.3	[60,63)
68.3	72.8	[66,69)
74	72.8	[72,75)
44.2	41.3	[42,45)
60.6	65.1	[60,63)
34.6	34.5	[33,36)
