CA	organ_age	Age_group
51.2	61.2	[51,54)
46.3	49.8	[45,48)
76.3	73.2	[75,78)
33.4	27.6	[33,36)
36.1	34.5	[36,39)
22.8	30.2	[21,24)
58.2	57.2	[57,60)
28.2	29.9	[27,30)
66.5	66.4	[66,69)
54.8	53.9	[54,57)
69.6	71.3	[69,72)
61.2	67.3	[60,63)
54.2	56.3	[54,57)
62.7	52	[60,63)
49.4	54.6	[48,51)
53	53.3	[51,54)
76.1	71.8	[75,78)
46.6	49.9	[45,48)
66.3	63.7	[66,69)
43.5	39.2	[42,45)
30.7	33.7	[30,33)
57.4	55.3	[57,60)
60	52.8	[60,63)
30.2	34.5	[30,33)
60.3	53.7	[60,63)
60.6	71.3	[60,63)
67.1	76.1	[66,69)
33.1	39.7	[33,36)
74.1	73.1	[72,75)
51.3	54.9	[51,54)
56.7	50.2	[54,57)
54.4	60.3	[54,57)
51.9	48.9	[51,54)
74.8	74.5	[72,75)
68.5	62.3	[66,69)
50.2	59.7	[48,51)
41	44.7	[39,42)
80.1	72.8	[78,81)
48.8	46.7	[48,51)
69.4	76.5	[69,72)
33.7	51.8	[33,36)
37.1	40.3	[36,39)
38.5	35.6	[36,39)
43.6	40.4	[42,45)
18.2	24.9	[18,21)
69.5	70.8	[69,72)
48.6	54.2	[48,51)
19	20.2	[18,21)
22.6	26.4	[21,24)
68.2	75.2	[66,69)
55.4	49.8	[54,57)
40.1	50.7	[39,42)
48.3	49	[48,51)
63.9	67.3	[63,66)
27.7	28.9	[27,30)
30.3	32.7	[30,33)
27.6	32.9	[27,30)
48.9	57.1	[48,51)
48.7	51.6	[48,51)
55.8	61.6	[54,57)
51.1	57.9	[51,54)
44.3	39.4	[42,45)
39.2	29.9	[39,42)
47.5	53.5	[45,48)
66.7	72.6	[66,69)
56.3	54	[54,57)
31.8	35.7	[30,33)
48.2	53.7	[48,51)
75.3	74.5	[75,78)
24.7	30	[24,27)
71.9	71.3	[69,72)
70.2	74	[69,72)
61	59.1	[60,63)
34.3	36.4	[33,36)
55.3	49.7	[54,57)
73.4	74	[72,75)
64.9	66	[63,66)
47.7	51.5	[45,48)
33.8	33.1	[33,36)
72.4	77.2	[72,75)
49.2	55.6	[48,51)
57.1	48.1	[57,60)
65.3	56.7	[63,66)
66.2	70.4	[66,69)
43	52.9	[42,45)
26.1	30.2	[24,27)
53.3	53.6	[51,54)
62.2	61.2	[60,63)
43.2	49.8	[42,45)
39	32	[39,42)
34.5	36.6	[33,36)
30.7	29.9	[30,33)
78.6	70.8	[78,81)
32.6	43.7	[30,33)
42.8	37.8	[42,45)
46.6	47.3	[45,48)
51.8	47.8	[51,54)
63.6	65.6	[63,66)
49.4	63.5	[48,51)
38.9	42.7	[36,39)
46.7	51.1	[45,48)
21.1	29.3	[21,24)
36.3	31.5	[36,39)
66.1	75.4	[66,69)
36.8	31.7	[36,39)
63.5	63.3	[63,66)
66.9	72	[66,69)
64.7	71.3	[63,66)
81.1	78	[81,84)
67.9	62.9	[66,69)
83.3	71.3	[81,84)
72.5	73	[72,75)
44	50.2	[42,45)
44.6	44	[42,45)
53	50.3	[51,54)
69.5	65.4	[69,72)
60.8	47.6	[60,63)
60.1	55.1	[60,63)
51.1	60	[51,54)
48.7	50.8	[48,51)
24.7	27.8	[24,27)
47.7	55.8	[45,48)
51.3	49.3	[51,54)
67.5	64.5	[66,69)
53.4	55.8	[51,54)
26.3	27	[24,27)
41.8	53.5	[39,42)
67.5	64.4	[66,69)
46.1	53.7	[45,48)
67.3	73.5	[66,69)
64.4	68.9	[63,66)
56.2	50.5	[54,57)
42.8	51.2	[42,45)
43	44	[42,45)
72.3	68.4	[72,75)
26.4	29.5	[24,27)
51	42.7	[51,54)
32.8	33.5	[30,33)
59.1	54.4	[57,60)
45.6	40.9	[45,48)
67.2	58.8	[66,69)
56.9	52	[54,57)
56.6	57.6	[54,57)
45.5	52.5	[45,48)
42.4	34.4	[42,45)
33.3	39.1	[33,36)
42.8	43.4	[42,45)
27.4	40.8	[27,30)
56.7	53.1	[54,57)
55.1	64	[54,57)
48.6	45.6	[48,51)
32.7	35.3	[30,33)
63.6	72.3	[63,66)
35.7	40.5	[33,36)
33.2	34.5	[33,36)
53	52	[51,54)
50.8	43.1	[48,51)
51.1	52.3	[51,54)
32.3	30.8	[30,33)
73	71.7	[72,75)
66	69.2	[66,69)
62	56.1	[60,63)
54.5	64.2	[54,57)
46.7	41.6	[45,48)
56.9	47.9	[54,57)
75.2	77.2	[75,78)
34	33.3	[33,36)
49.5	55.2	[48,51)
51.8	39.5	[51,54)
40.7	46.5	[39,42)
50.9	46.1	[48,51)
23.9	30.7	[21,24)
40.4	38.8	[39,42)
52	45.6	[51,54)
70.4	73.7	[69,72)
64.8	58.7	[63,66)
71.5	62.9	[69,72)
50.1	48.3	[48,51)
49.9	47.2	[48,51)
66.4	69	[66,69)
50.5	50.5	[48,51)
34.2	41.7	[33,36)
35.5	34.7	[33,36)
29.5	30.2	[27,30)
32	38.2	[30,33)
50.6	52.6	[48,51)
62.5	59.2	[60,63)
34.9	38.2	[33,36)
51.8	49.8	[51,54)
52.6	50.8	[51,54)
47.9	47.3	[45,48)
70.1	75.3	[69,72)
25.9	34.9	[24,27)
27	35.9	[27,30)
64.9	64.9	[63,66)
72.4	72.2	[72,75)
76.8	71.3	[75,78)
77.6	76.6	[75,78)
48	46.6	[48,51)
35.3	33.6	[33,36)
27.9	30.3	[27,30)
72.8	69.8	[72,75)
73.4	65.2	[72,75)
41.4	47	[39,42)
19.4	27	[18,21)
62.9	70.4	[60,63)
63.1	67.2	[63,66)
66.9	73.1	[66,69)
74.8	63	[72,75)
40.1	49.1	[39,42)
39.9	32.2	[39,42)
57.6	68.3	[57,60)
54.7	58.2	[54,57)
72.3	73.9	[72,75)
62.7	50.4	[60,63)
33.1	30.1	[33,36)
72.9	72.1	[72,75)
19.9	23.7	[18,21)
75.7	73	[75,78)
61.8	66.7	[60,63)
70.2	65.5	[69,72)
32.6	38.6	[30,33)
50.4	46.1	[48,51)
58.1	65.1	[57,60)
33.1	31.6	[33,36)
51	51.9	[51,54)
37.4	35.2	[36,39)
51.5	52.9	[51,54)
62.4	62.1	[60,63)
38.2	51.1	[36,39)
27.7	25.6	[27,30)
50.3	36	[48,51)
41	37.5	[39,42)
75.3	63.2	[75,78)
60.6	52.6	[60,63)
37.3	35.3	[36,39)
41.8	39.7	[39,42)
37.7	29.9	[36,39)
36	43.2	[36,39)
25.2	33	[24,27)
46.8	48.3	[45,48)
80.9	71.9	[78,81)
39.5	45.7	[39,42)
29.6	34.4	[27,30)
51.6	48	[51,54)
56.3	48.8	[54,57)
23	26.6	[21,24)
61.9	52.8	[60,63)
44.7	53.1	[42,45)
44.1	44.9	[42,45)
60.6	68.7	[60,63)
44.8	43.4	[42,45)
72	72.7	[72,75)
49.4	47.2	[48,51)
66.9	67.1	[66,69)
