CA	organ_age	Age_group
74.9	79	[72,75)
39.1	30.2	[39,42)
64.2	64.6	[63,66)
64.7	69.1	[63,66)
72.9	75.5	[72,75)
65.9	73.8	[63,66)
33.8	34	[33,36)
75.3	72.8	[75,78)
65	68.6	[63,66)
77.6	72.4	[75,78)
61.7	58	[60,63)
41.4	37.3	[39,42)
49.7	47.6	[48,51)
70.8	68.5	[69,72)
70	70.3	[69,72)
55.5	57.9	[54,57)
24.9	29.5	[24,27)
64	72.2	[63,66)
45.2	50.7	[45,48)
57.4	55.4	[57,60)
67.8	71.5	[66,69)
42.1	47.3	[42,45)
55	62.9	[54,57)
40.6	55.2	[39,42)
59.8	57.4	[57,60)
55.6	61.7	[54,57)
42	42.9	[42,45)
25.9	29.4	[24,27)
27.4	29	[27,30)
31.4	35.8	[30,33)
61.5	67.5	[60,63)
71.3	75.6	[69,72)
66.9	62.6	[66,69)
38.8	35.1	[36,39)
43.9	45.7	[42,45)
65.4	67.4	[63,66)
50.4	43.2	[48,51)
65.6	63.7	[63,66)
43.5	45.6	[42,45)
46.4	55.4	[45,48)
77.5	68.9	[75,78)
43	49.9	[42,45)
63.6	66.3	[63,66)
78.2	76.1	[78,81)
63.4	63.3	[63,66)
49.7	52.3	[48,51)
51.5	57.1	[51,54)
63.8	66.9	[63,66)
73.3	65.3	[72,75)
67.8	62.7	[66,69)
57.6	52.1	[57,60)
64.4	56.8	[63,66)
49	45.4	[48,51)
31.2	30	[30,33)
72.5	76.3	[72,75)
31.4	31.9	[30,33)
47.3	41	[45,48)
22.5	27.3	[21,24)
52.9	65.6	[51,54)
48.9	49.4	[48,51)
70	69.1	[69,72)
65.3	80.6	[63,66)
66.6	63.3	[66,69)
29.1	34.5	[27,30)
53.3	39.7	[51,54)
45.7	48.2	[45,48)
42.6	43	[42,45)
71	63.7	[69,72)
63.9	54.9	[63,66)
56.2	67.3	[54,57)
47.2	40.8	[45,48)
59.8	68.3	[57,60)
49	40.8	[48,51)
50.2	50.5	[48,51)
29.6	27.8	[27,30)
70.5	68.6	[69,72)
69.5	69.3	[69,72)
62.1	66.9	[60,63)
38.6	43.1	[36,39)
24.3	28.3	[24,27)
53.5	58.7	[51,54)
62.1	60.5	[60,63)
21.5	22.7	[21,24)
61.1	66	[60,63)
65.9	73.8	[63,66)
42.5	37.6	[42,45)
52.5	50.9	[51,54)
57.5	50.4	[57,60)
43.3	37.3	[42,45)
61.4	63.7	[60,63)
31.7	37.3	[30,33)
50.2	50.9	[48,51)
64.9	55.6	[63,66)
20	28.1	[18,21)
57.2	58.6	[57,60)
46.9	51	[45,48)
40.8	36.5	[39,42)
49	42.8	[48,51)
63	74.8	[63,66)
53.8	54.1	[51,54)
59.1	62.5	[57,60)
43.9	48.1	[42,45)
37.6	36.7	[36,39)
60.5	61.4	[60,63)
41.3	42.5	[39,42)
72.9	71.1	[72,75)
55	53.3	[54,57)
35.2	30.8	[33,36)
42.9	43.6	[42,45)
38.4	36.8	[36,39)
65.5	70.3	[63,66)
32.6	43.7	[30,33)
41.5	40.2	[39,42)
36.8	42	[36,39)
59.4	62.6	[57,60)
78	68.6	[78,81)
64.7	60.5	[63,66)
59.5	56	[57,60)
71.4	72	[69,72)
72.1	72.6	[72,75)
65.4	64.7	[63,66)
41.8	35.2	[39,42)
41	35.6	[39,42)
75.5	67.7	[75,78)
75.3	74.3	[75,78)
41.2	36.8	[39,42)
50.6	56.2	[48,51)
49.1	49.2	[48,51)
36.3	31.4	[36,39)
80.4	75.5	[78,81)
46.7	49	[45,48)
77.6	70.7	[75,78)
44.1	47.7	[42,45)
60	65.7	[60,63)
43	45.4	[42,45)
24.5	25.2	[24,27)
50.1	46.5	[48,51)
70	68.6	[69,72)
24.2	24.9	[24,27)
40.9	38.6	[39,42)
35.3	29.4	[33,36)
61.7	66.1	[60,63)
55.4	58.5	[54,57)
47.1	45.7	[45,48)
70.6	68	[69,72)
79.6	70.7	[78,81)
59.9	55.1	[57,60)
36.1	31.7	[36,39)
61.4	70.7	[60,63)
67.7	70.5	[66,69)
35.7	36.6	[33,36)
30.2	31.8	[30,33)
57.8	60.9	[57,60)
27.8	25.6	[27,30)
47.1	50.8	[45,48)
43.5	41.3	[42,45)
66.9	70.1	[66,69)
52.9	50.6	[51,54)
47.6	47.8	[45,48)
34.8	35.3	[33,36)
32.1	37.3	[30,33)
55.9	51.3	[54,57)
32.5	34.4	[30,33)
47.6	45.4	[45,48)
53.7	53.2	[51,54)
49.4	50.5	[48,51)
35.8	40.8	[33,36)
